id|title|starring|writer|editor|
3753|||Alexander Sokurov||
3754||Jerzy Stuhr Olgierd Lukaszewicz Beata Tyszkiewicz|Jolanta Hartwig Juliusz Machulski Pavel Hajny||
3755|Maniac Cop|Richard Roundtree Tom Atkins Laurene Landon Bruce Lorne Campbell Robert J. Zdarsky|Larry Cohen||
3756||Louis Feinberg Harry Moses Horwitz Christine Cecilia McIntyre Samuel Horwitz Emil Sitka|Felix Adler||
3757|Jury Prize (Cannes Film Festival)|Xavier Beauvois|Xavier Beauvois Marie Sauzeau Emmanuel Salinger Anne-Marie Sauzeau Zoubir Tligui||
3758||Rita Tushingham Lynn Redgrave Michael York|George Melly||
3759||Henry Brazeale Walthall Sarah Blanche Sweet|Frank E. Woods||
3760||Abdul Aziz bin Sattar S. Shamsudin Teuku Zakaria|||
3761||Amal Ayouch Abdelhak Zhayra Mustapha Hansali Hicham Moussoune Mounim Kbab|Nabil Ayouch Nathalie Saugeon||
3762|Bullets Over Broadway|Mary-Louise Parker Tracey Ullman Calogero Lorenzo Palminteri Jennifer E. Chan Dianne Wiest Joe Viterelli John H. Lebzelter John Paul Cusack Jim Broadbent|Allen Stewart Ku00F6nigsberg Douglas McGrath||
3763|Alienator|Teagan Clive John Phillip Law Jan-Michael Vincent|Paul Garson||
3764||Mehmood Harihar Jariwala Lalita Pawar|||
3765||Thomas Sean Connery Glynis Johns Barry Sullivan (actor) Julia Jean Mildred Frances Turner|Lenore J. Coffee (novel) Stanley Mann||
3766||Vijaya Kumaratunga Vasanthi Chathurani|Tissa Abeysekara||
3767|Double Impact|Geoffrey Lewis (actor) Andy Armstrong|Story: Sheldon Lettich Jean-Claude Van Damme Steve Meerson Peter Krikes Screenplay: Sheldon Lettich Jean-Claude Van Damme||
3768|The Cowboy Way|Mark Anthony McDermott Mary Marg Helgenberger Woodrow Tracy Harrelson Kiefer William Frederick Dempsey George Rufus Sutherland Ernie Hudson|Robert C. Thompson William D. Wittliff||
3769|Stealing Beauty|Jeremy John Irons Joseph Alberic Fiennes Liv Rundgren|Bernardo Bertolucci Susan Minot||
3770|The Demon||Seicho Matsumoto Masato Ide||
3771|Paulo e Virginia||Henri Bernardin de Saint-Pierre Francisco de Almeida Fleming||
3772||Madison Stone Barbara Dare Monique Gabrielle|Fred Olen Ray||
3773||Thomas Sanders Marla English Krikor Ohanian|Russ Bender V.I. Voss||
3774||Warren Mercer Oates|Charles Portis Sandor Stern||
3775|Cloak & Dagger|Michael Murphy Robert DoQui Christina Nigra William Forsythe John McIntire Dabney Coleman Henry Jackson Thomas Jr. Jeanette Nolan|Cornell Woolrich Tom Holland||
3776||Ashok Kumar Hema Malini Balbir Raj Kapoor|||
3777|Muppets from Space|Raymond Liotta Kathleen Mary Griffin Robert Michael Schneider Dave Goelz Richard Frank Oznowicz Bill Barretta Steve Whitmire|Jerry Juhl Ken Kaufman Joey Mazzarino||
3778|The Night Flier|Miguel Josu00E9 Ferrer Julie Entwisle John Bennes Dan Monahan|Jack O'Donnell Mark Pavia Stephen King||
3779|Scooby-Doo and the Cyber Chase|Scott Innes Erin Grey Van Oosbree B. J. Ward (actress) Franklin W. Welker|William Hanna Mark Turosz||
3780|Born Into Brothels: Calcutta's Red Light Kids Academy Award for Documentary Feature|Shanti Das Puja Mukerjee Avijit Halder Suchitra|Zana Briski Ross Kauffman||
3781|Murphy's I.O.U.|Roscoe Arbuckle|||
3782||Lady Jayne Seymour Fonda Ivo Livi, born of Catholic peasants in Italy|||
3783||Sridevi Kamal Haasan|||
3784|My House in Umbria|Timothy Leonard Spall Chris Cooper Dame Maggie Smith|Hugh Whitemore William Trevor||
3785|Snow Buddies|Molly Helen Shannon Josh Flitter James Bennett Kristoffer Kristofferson|Robert Vince Anna McRoberts||
3786||Egbert Jan Weeber Tygo Gernandt Angela Schijf|Pieter Kuijpers Paul Jan Nelissen||
3787|Murder on the Orient Express|Alfred Molina Meredith Ann Baxter Leslie Claire Margaret Caron Peter Strauss|Stephen Harrigan||
3788|Bomb the System|Gano Grills Jade Yorker Mark Webber (actor)|Adam Bhala Lough||
3789||Anthony LaPaglia Sibylla Budd David Wenham|Robert Connolly||
3790||Biagio Anthony Gazzara Denholm Mitchell Elliott George Robert Lazenby|Howard Sackler Paul Theroux Peter Bogdanovich||
3791||Dong Jie Zhao Benshan|Mo Yan||
3792|The Frontier|Patricio Contreras Gloria Laso|Ricardo P. Larrain Jorge Goldenberg||
3793|Werner Herzog Eats His Shoe|Alice Waters Tom Luddy Michael Goodwin Werner Stipetiu0107|Werner Stipetiu0107||
3794||Thomas Sean Connery Donald McNichol Sutherland Lesley-Anne Down|Michael Crichton||
3795|Amen.|Mathieu Kassovitz Ulrich Tukur|Jean-Claude Grumberg||
3796||Kamal Haasan|||
3797|Sky High|Joseph Farrell MacDonald Thomas Hezikiah Mix|Lynn Reynolds||
3798||Germain Houde Peter Breck Jello Biafra|John Conti||
3799|I Not Stupid|Xiang Yun Joshua Ang Shawn Lee Huang Po Ju Selena Tan Richard Low|Jack Neo||
3800|The Crucible|David Paul Scofield Rob Campbell Frances Conroy Joan Allen Bruce Davison Daniel Michael Blake Day-Lewis Winona Laura Horowitz|Arthur Miller||
3801|Poramboku|Navdeep|||
3802|Chandini Bar|Atul Kulkarni Vishal Thakkar Rajpal Yadav Ananya Khare Minakshi Sahani Tabassum Hashmi|Mohan Azaad||
3803|Mannen som ikke kunne le|Wenche Myhre|Many||
3804||Salman Khan Ayesha Takia|Puri Jagan||
3805|Gangster|Emraan Hashmi Kangna Ranaut Roshan Ahuja|Anurag Basu Mahesh Bhatt||
3806|Pink Flamingos|Edith Massey Nancy Stoll Danny Mills Mary Vivian Pearce David Lochary Harris Glenn Milstead|John Samuel Waters, Jr.||
3807||Sridevi Kamal Haasan|||
3808||Vincent Phillip D'Onofrio Mary Beth Hurt Milo Anthony Ventimiglia|||
3809|Howl's Moving Castle Diana Wynne Jones|Crispin McDougal Freeman Emily Mortimer Christian Charles Philip Bale Blythe Katharine Danner Jean Merilyn Simmons Betty Joan Perske Jena Malone William Jacob Crystal Joshua Ryan Hutcherson|Diana Wynne Jones Hayao Miyazaki||
3810|Count the Votes|Harold Lloyd|H.M. Walker||
3811|Im Juli|Moritz Bleibtreu Christiane Paul|||
3812||Frank Finlay Judi Bowker Susan Penhaligon Louis Jourdan Jack Shepherd Mark Burns|Gerald Savory||
3813|Yonggary|Oh Yeong-il Nam Jeong-im|Kim Ki-duk Seo Yun-sung||
3814||Gayatri Joshi Shah Rukh Khan|Ashutosh Gowariker||
3815|The Return of the King|William Cann Theodore Bikel John Marcellus Huston Roderick Andrew Anthony Jude McDowall Orson Bean|Romeo Muller||
3816|April Fool's Day|Taylor Quinn Cole Josh Henderson Desariee Starr Compton|The Butcher Brothers Mikey Wigart||
3817|Some Girls Do|Beba Loncar Maurice Denham Sydne Rome Virginia North Vanessa Howard Adrienne Posta Yutte Stensgaard James Villiers Robert Adolph Wilton Morley Daliah Lewinbuk Florence Desmond Richard Johnson (actor) Ronnie Stevens|||
3818|Johnny Mnemonic|Dina Meyer Keanu Charles Reeves Ice-T Beat Takeshi Henry Rollins Udo Kierspe Hans Lundgren|William Gibson||
3819||Edmund Kellaway Nancy Kelly|||
3820|Big Momma's House|Ella Mitchell Jascha Washington Nitara Carlynn Long Anthony Alvin Anderson Terrance Howard Paul Giamatti Martin Lawrence|Darryl Quarles Don Rhymer||
3821|Hero at Large|Anne Archer Bert Convy|AJ Carothers||
3822||Jacqueline Scott Christine White Susan Morrow William Prince Jim Backus|Theo Durrant (novel) Robb White||
3823|Half Past Dead|Morris Chestnut Kurupt Steven Seagal Ja Rule|Don Michael Paul||
3824|Romance &amp; Cigarettes|Kate Elizabeth Winslet Mary-Louise Parker James R. Gandolfini Susan Abigail Tomalin|John Turturro||
3825|Wing Chun|Yeoh Choo-Kheng Pei-pei Cheng Donnie Yen|Elsa Tang||
3826||Nassar Brahmanandam Murali Sharma Mahesh Babu Amrita Rao Malaika Arora Khan Ashish Vidyarthi Kota Srinivasa Rao|Vakkantham Vamsi||
3827|Los ojos dejan huellas|Emma Penella Raffaele Vallone|Carlos Blanco||
3828|Francis|Donald David Dixon Ronald Ou2019Connor Patricia Medina|David Stern||
3829|The Train|David Paul Scofield Jeanne Moreau Burton Stephen Lancaster|Rose Valland (book Le front de l'art) Franklin Coen Frank Davis Albert Husson (French version-uncredited)||
3830|Psycho Beach Party|Thomas Ellis Gibson Nicholas Brendon Schultz Matt Keeslar Laura Anne D'Ambruoso|Charles Busch||
3831|Volga-Volga|Lyubov Orlova Igor Ilyinsky|||
3832||Kamal Haasan Sripriya Sridevi Ambika (actress)|||
3833|Jism|Gulshan Grover Bipasha Basu John Abraham (actor)|Mahesh Bhatt||
3834|Haasil|Ashutosh Rana Jimmy Shergill Irfan Khan (actor) Hrishita Bhatt|Tigmanshu Dhulia (story & screenplay) Tigmanshu Dhulia (dialogue)||
3835|Hollywood Homicide|Lou Diamond Phillips Kurupt Lolita Davidovich Dwight Yoakam Isaiah Washington IV Master P Lena Maria Jonna Olin Joshua Daniel Hartnett Harrison Ford Martin Landau Stuart Bruce Greenwood|Robert Souza Ron Shelton||
3836||Henry Herman McKinnies Jr. Vic Damone David Harold Meyer|Walter Roeber Schmidt Gil Doud (story)||
3837||Sam De Fazio John Bicona Dominick Grieco Andrea Louise Martin Victor Magnotta|Mardik Martin Martin Scorsese||
3838|Negatives|Debbie Ann Rochon Duane Jones|||
3839||Mimoun Oa?ssa Mounir Valentyn Bracha van Doesburgh|Khalid Boudou Marco van Geffen||
3840||Vimala Raman|||
3841|Il Camorrista|Leo Gullotta Biagio Anthony Gazzara Franco Interlenghi Laura Del Sol|Giuseppe Tornatore||
3842|The Hero|Maria Cei?a Oumar Makena Diop Milton 'Santo' Coelho|Carla Baptista Pierre-Marie Goulet Fernando Vendrell||
3843||William Davis Garwood Jr. Belle Bennett|||
3844|El fondo del mar|Daniel Hendler Dolores Fonzi Gustavo Garz?n|Damiu00E1n Szifru00F3n||
3845|The Crippled Masters|Chen Mu Chuan Frankie Shum Jackie Conn|||
3846|Lepel||||
3847||T N Balakrishna Dwarakish Jayanti Singanalluru Puttaswamayya Muthuraju|||
3848||William Paxton Charlize Theron|Ruth Rose Mark Rosenthal Merian C. Cooper Lawrence Konner||
3849||Timothy Dowling Jennifer Jostyn Joshua Lee Holloway|Nolan Lebovitz||
3850|Secret Service in Darkest Africa Serial (film) Republic Pictures|Lionel Royce Rod Cameron Kurt Kreuger Duncan Renaldo Joan Marsh Frederic Brunn|Ronald Davidson Royal Cole Joseph O'Donnell Basil Dickey Joseph Poland Jesse Duffy||
3851|Yasmin|Archana Kaur Panjabi|Simon Beaufoy||
3852|V for Vendetta|Hugo Wallace Weaving Stephen John Fry Graham Rea en . John Vincent Hurt|Alan Moore David Lloyd (comic artist) Wachowski Brothers||
3853|Bolero|Jane Alice Peters Alfred Reginald Jones Sally Rand George Ranft|Carey Wilson (writer) Kubec Glasmon Horace Jackson Ruth Ridenour||
3854|Box office number-one films of 2003 (USA) 2 Fast 2 Furious|Paul William Walker IV William James Remar Eva Mendes Ludacris Devon Edwenna Aoki Tyrese Gibson|Derek Haas Michael Brandt||
3855||Rosy Samad|||
3856|The Lady Vanishes|Cecil Parker Mary Clare Margaret Mary Lockwood Day Catherine Lacey Basil Radford Georgette Lizette Withers Linden Travers Michael Scudamore Redgrave Naunton Wayne Dame May Whitty Pu00E1l Luku00E1cs Philip Leaver|Frank Launder Ethel Lina White Sidney Gilliat||
3857|The Big Fisherman|Harold Clifford Keel|Howard Estabrook Rowland V. Lee Lloyd C. Douglas||
3858||Dina Meyer Lou Diamond Phillips Robert Patrick Gunton, Jr.|John Logan (writer)||
3859|Dancing at the Blue Iguana|Daryl Christine Hannah Elias Koteas Sandra Oh Charlotte Ayanna Sheila Kelley|Michael Radford David Linter||
3860||Elio Steiner Mercedes Brignone Isa Pola Dria Paola|Giorgio Simonelli Gennaro Righelli||
3861|Ti piace Hitchcock? Do You Like Hitchcock?|Chiara Conti Elio Germano Cristina Brondo Elisabetta Rocchetti Ivan Morales|Franco Ferrini||
3862||William Davis Garwood Jr. Violet Mersereau|||
3863||Tiffany Bolling Royal Dano Jo Raquel Tejada James Coco Perry King David Dukes|Walter Marks Joseph Moncure March||
3864|Madame X|Dorothy Donnelly|Alexandre Bisson||
3865||Frederick Alan Moranis Ed O'Neill|James Ferguson (writer) Robert Shallcross||
3866|West Beirut|Rola Al Amin Rami Doueiri Mohamad Chamas|Ziad Doueiri||
3867||Fernando Armani Mariano Argento Joselo Bella|||
3868||Nozomu Sasaki|||
3869||Aashish Chaudhary Ritesh Deshmukh Javed Jaffrey Asrani Sanjay Dutt Murli Sharma Arshad Warsi|Paritosh Painter (story and screenplay)||
3870|Party Monster|Marilyn Manson (person) Macaulay Carson Culkin Seth Green Chloe Stevens Sevigny Diana Scarwid|Fenton Bailey Randy Barbato||
3871||Marion Burns Marion Robert Morrison|Lloyd Nosler||
3872|Dead Men Don't Wear Plaid|Stephen Glenn Martin Rachel Ward|George Gipe||
3873|The Decline of Western Civilization|X (U.S. band) Fear (band) The Germs Black Flag (band) Alice Bag Band Circle Jerks Catholic Discipline|Penelope Spheeris||
3874|Funny Games|Friedrich Hans Ulrich Mu00FChe|Michael Haneke||
3875|OK Baytong|Phoovarit Phumpuang Jeeranan Manojam|Nonzee Nimibutr||
3876||Dayle Haddon Udo Kierspe Benny Luke Fran?ois Dunoyer|Charles Matton||
3877|Boundin'||Bud Luckey||
3878|Uncle Buck|Jean Louisa Kelly John Franklin Candy Macaulay Carson Culkin|John Hughes||
3879||Andrew Seeley|||
3880|Stone of Destiny|Charlie Cox Robert Carlyle Kate Mara Brenda Fricker William Boyd|Charles Martin Smith||
3881|C?sar Award for Best Film|Arthur John Gielgud Derek Jules Gaspard Ulric Niven van den Bogarde Edna Rae Gillooly David Warner (actor)|David Mercer||
3882|Drawing Flies|Carmen Llywelyn Renee Humphrey Jason Edward Mewes Jason Lee|Matthew Gissing Malcolm Ingram||
3883||Leslie Howard (actor)|Robert Sherwood Baroness Orczy Arthur Wimperis Lajos Bir? Sam Bermann||
3884|Vera Cruz|Denise Darcel William Scott Elam Henry Brandon Ermes Effron Borgnino Cesar Julio Romero, Jr. Maru00EDa Antonia Abad Burton Stephen Lancaster Charles Dennis Buchinsky George Macready Morris Ankrum Frank James Cooper|Roland Kibbee James R. Webb (writer)||
3885||Balraj Dutt Asha Parekh Rakesh Roshan|Humayun Mirza||
3886||Phillip Rhee Ernie Hudson|Phillip Rhee Fred Vicarel||
3887||Eli Wallach Robert Wahlberg Adam Arkin Josh Lucas Thomas Jeffrey Hanks Samuel Leroy Jackson Roberto Cannavale|Geoffrey C. Ward||
3888|L'emploi du temps Time Out|Aur?lien Recoing Karin Viard|Laurent Cantet Robin Campillo||
3889|The Lucky Dog|Jack Lloyd Arthur Stanley Jefferson Florence Gillet Oliver Hardy|||
3890||Allen Zwolle   Sean Anders   Shelly Frasier   Chuck LeVinus   John Morris|Sean Anders   Chuck LeVinus   John Morris||
3891||Gordon Merrill Werschkul Vera June Ralston William Scott Elam|||
3892|The Adventures of Rocky and Bullwinkle|Keith Scott (Australia) Jason Scott Greenspan Robert Mario De Niro, Jr. Piper Perabo Randall Rudy Quaid Rene Marie Russo June Foray|Jay Ward||
3893|Starsky & Hutch|Benjamin Edward Stiller Juliette Lewis Snoop Dogg Owen Cunningham Wilson Vincent Anthony Vaughn|Scot Armstrong John O'Brien (screenwriter) Stevie Long Todd Phillips||
3894|Chopping Mall|John Terlesky Nick Segal Karrie Emerson Russell Todd Goldberg Mel Welles Dick Miller Gerrit Graham Paul Bartel Barbara Crampton Kelli Joan Maroney Suzee Slater Mary Woronov Tony O'Dell|Steve Mitchell Jim Wynorski||
3895|Khakee|Atul Kulkarni Ajay Devgan Tanuja Prakash Raj Tusshar Kapoor Jayapradha Amitabh Bachchan Aishwarya Rai Rajiv Hari Om Bhatia|Shridhar Raghavan||
3896|My Family|Edward James Olmos Esai Morales Jimmy Smits|Gregory Nava||
3897|Husbands and Wives|Juliette Lewis Allen Stewart Ku00F6nigsberg Sydney Pollack Maria de Lourdes Villiers-Farrow William John Neeson Judy Davis|Allen Stewart Ku00F6nigsberg||
3898|Guarding Tess|Richard Griffiths James Rebhorn Shirley MacLean Beaty Nicholas Kim Coppola Edward Laurence Heimberger Austin Pendleton|Hugh Wilson Peter Torokvei||
3899|The Great Santini|Michael O'Keefe Robert Selden Duvall Blythe Katharine Danner|Pat Conroy Herman Raucher Lewis John Carlino||
3900|||Kenji Kawai||
3901|Taxi 3|Marion Cotillard Samy Naceri Fr?d?ric Diefenthal|Luc Besson||
3902|Little Darlings|Christina Ann McNichol Tatum Beatrice O'Neal|Kimi Peck Dalene Young||
3903||Suhasini Rajaram Naidu Sriya Reddy  Seeman (director)|||
3904|The Scarlet Letter|Lillian Diana Gish|Nathaniel Hawthorne Frances Marion||
3905|Sukob|Boots Anson-Roa Claudine Barretto Wendell Ramos Bernard Palanca Glaiza Galura Kristina Bernadette Cojuangco Aquino-Yap Maja Ross Andres Salvador|||
3906|God of Gamblers Returns|Tony Leung Ka-Fai Chingmy Yau Chow Yun-Fat Wu Chien-Lien|Wong Jing||
3907||Walter Brandi Barbara Steele Mirella Maravidi|Roberto Natale Romano Migliorini Cesare Mancini Ruth Carter Edgar Allan Poe||
3908|Robot Jox|Anne-Marie Johnson Manfred Koslowski Gary Graham|Joe Haldeman Stuart Gordon||
3909||Niels Vu00F8rsel Lars von Trier|Niels V?rsel||
3910|Dark Intruder|Judi Meredith Charles Bolender Gilbert Green Leslie William Nielsen Mark Richman|Barr? Lyndon||
3911|The Soul of a Man||Wim Wenders||
3912||Ricardo Bauleo Stella Maris Lanzani|Isaac Aisemberg||
3913|In weiter Ferne, so nah! Grand Prix (Cannes Film Festival)|Nastassja Aglaia Nakszyu0144ski Otto Sander Bruno Ganz William J. Dafoe R?diger Vogler Solveig Dommartin Heinz R?hmann Peter Michael Falk|Richard Reitinger Wim Wenders Ulrich Zieger||
3914||Tina Blacker Ruth Gordon Jones Alfred Reginald Jones Stephen McHattie George Maharis Anna Marie Duke Broderick Crawford|Ira Levin||
3915||James Naughton Laila Robins Adrien Brody Maura Lynn Tierney Terry Kinney|Richard Shepard||
3916|What America Needs: From Sea to Shining Sea||||
3917||Billy Herrington Ron Athey|||
3918|Academy Award for Best Picture Gigi|Louis Jourdan Maurice Auguste Chevalier Leslie Claire Margaret Caron|Alan Jay Lerner Colette||
3919||Rajnikanth|||
3920|Sweet November|George Anthony Newley Sandra Dale Dennis Theodore Bikel Burr DeBenning Sandy Baron|Herman Raucher||
3921|When Love Forgives|Charles West (actor)|Lula Vollmer||
3922|Twin Towers||||
3923|Eijanaika|Ken Ogata Kaori Momoi Y?ko Tanaka Mitsuko Baisho Shigeru Tsuyuguchi Masao Kusakari Shigeru Izumiya|Hisashi Yamauchi||
3924|Dracula AD 1972|Christopher Frank Carandini Lee Peter Wilton Cushing|Don Houghton||
3925|||Sufyan Omeish  Abdallah Omeish||
3926||Patricia Colleen Nelligan Barbara Joan Streisand Nicholas King Nolte|Pat Conroy Becky Johnston||
3927||Mahmoud el-Meliguy Faten Ahmed Hamama Kamal Al-Shennawi Hind Rostom Seraj Munir|Ali El Zorkani||
3928|Hair High|Matt Groening Jay O. Sanders Keith Ian Carradine Craig Philip Bierko Justin Jake Long Tom Noonan Dermot Mulroney Michael Showalter Edward James Begley, Jr. John Arthur Carradine Zak Orth Sarah Silverman Don Hertzfeldt Beverly D'Angelo Martha Campbell Plimpton|Bill Plympton||
3929|Astu00E9rix aux jeux olympiques||Gu00E9rard Lauzier||
3930||Matthew Steven LeBlanc Eddie Izzard James Cosmo|David Schneider (writer)||
3931||Sharon Lewis|Ruth Handler||
3932||Francisco James Muu00F1iz IV Anthony Alvin Anderson Hannah Louise Spearritt|Harald Zwart Jeffrey Jurgensen||
3933|Runaway|Gene Simmons Cynthia Rhodes Kirsten Louise Alley Thomas William Selleck G. W. Bailey|Michael Crichton||
3934||Asha Parekh Jeetendra Aruna Irani|Sachin Bhowmick||
3935|Kingpin|Lin Shaye Rob Moran Mark Roth Brian Voss Richard Tyson William James Murray Kevin Civale William Jordan Ron Palombi Jr. Christopher Nash Elliott Prudence Wright Holmes Zen Gesner Vanessa Madeline Angel Parker Bohn III Woodrow Tracy Harrelson John Popper Randall Rudy Quaid Justin Hromek Don Julio (actor) Randy Pedersen|Mort Nathan Barry Fanaro||
3936||Burt Bulos Jason Tobin John Yohan Cho|Chris Chan Lee||
3937||Vivian Vaughan Arthur White|||
3938|Pirates of the Caribbean: Dead Man's Chest|Jack Davenport Tom Hollander Stellan Skarsg?rd Keira Christina Knightley Naomie Melanie Harris Orlando Jonathan Blanchard Bloom William Francis Nighy John Christopher Depp II|Stuart Beattie Jay Wolpert Terry Rossio Ted Elliott||
3939||John Ott (actor) Charles Kayser|||
3940|The Boys in Company C|Andrew Stevens Stan Shaw R. Lee Ermey Scott Hylands Michael Lembeck|Sidney J. Furie Rick Natkin||
3941||Louise Fletcher Keith Ian Carradine Bert Remsen Shelley Alexis Duvall Thomas Roy Skerritt John Schuck|Calder Willingham Robert Bernard Altman Edward Anderson Joan Tewkesbury||
3942|Deewana|Shahrukh Khan Divya Om Prakash Bharti Rishi Kapoor|||
3943|The King of Jazz|Laura La Plant Jeanette Loff Al Rinker Harry Lillis Crosby John Boles (actor) Paul Whiteman Harry Barris|Harry Ruskin Charles MacArthur||
3944|Witchfinder General|Vincent Leonard Price, Jr. Ian Ogilvy Hilary Dwyer|Michael Reeves Tom Baker||
3945||David Brian Lucille Fay LeSueur Stanley Morner Richard Webb|Bernard Girard Geoffrey Homes George Worthing Yates||
3946|Day of Wrath|Thorkild Roose Sigrid Neilendam Lisbeth Movin Albert Hoeberg Preben Lerdorff-Rye|||
3947||Kaspar Jancis Al Vainola Tony Blackplait Anti Pathique|T?nu Karro Sandra Heidov||
3948|The Magic Flute|Silvia Moi Rodney Clarke Amy Carson Charne Rochford Joseph Kaiser Tom Randle Elizabeth Smith Benjamin Jay Davis Ben Uttley Kim-Marie Woodhouse Lyubov Petrova Louise Callinan Teuta Ko?o Ren? Pape|Emanuel Schikaneder Stephen John Fry Kenneth Charles Branagh||
3949|Employee of the Month|Dane Cook Andrew R. Dick Efrain Antonion Ramirez Harland Williams Dax Randall Shepard Jessica Simpson Tim Bagley|Greg Coolidge Don Calame Chris Conroy||
3950||Kelsey Danae Lewis Maria de Lourdes Villiers-Farrow AnnaSophia Robb|Anna Sandor Valerie Tripp||
3951|Taxi 2|Marion Cotillard Samy Naceri Bernard Farcy Fr?d?ric Diefenthal Emma Sjoberg|Luc Besson||
3952|The Blind Goddess|Ward Crane Louise Dresser Esther Ralston Jack Holt Ernest Thayson Torrence-Thompson|Louis D. Lighton Hope Loring||
3953|Aakhari Poratam|Suhasini Akkineni Nagarjuna Rao Amrish Lal Puri Sridevi Kaikala Satyanarayana|K. Raghavendra Rao||
3954|The Lookout|Bruce McGill Isla Lang Fisher Matthew Goode Jeffrey Warren Daniels Joseph Leonard Gordon-Levitt|Scott Frank||
3955|White Room|Patricia Colleen Nelligan Sheila McCarthy Maurice Godin (actor)|Patricia Rozema||
3956||Ilyena Vasilievna Mironov Scott Antony Dorothy Tutin|Jim Ede Christopher Logue||
3957|Queens Logic|Linda Fiorentino Kevin Norwood Bacon Kelly Bishop Tom Waits John Gavin Malkovich Joseph Anthony Mantegna, Jr. Jamie Lee Curtis Terry Kinney|Tony Spiridakis Joseph W. Savino||
3958|Elephant||Bernard MacLaverty||
3959|The General|Joseph Frank Keaton VI Marion Mack|Joseph Frank Keaton VI Clyde Bruckman||
3960|The Cable Guy|Diane Carol Baker Leslie Mann George Segal Matthew Broderick Thomas Jack Black, Jr. James Eugene Carrey|Lou Holtz Jr.||
3961|Luke's Fatal Flivver|Harold Lloyd|||
3962|Snake in the Eagle's Shadow ("Se ying diu sau")|u9673u6E2Fu751F (Chan Kong Sang) Yuen Siu Tien Hwang Jang Lee|Choi Gai-gwong Ng See-Yuen Tsai Chi-kuang||
3963|A Streetcar Named Desire|Vivian Mary Hartley Rudy Bond Janet Cole Nick Dennis Marlon Brando, Jr. Mladen George Sekulovich|A Streetcar Named Desire (play) Tennessee Williams||
3964|Editing Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D|James Riffel|James Riffel||
3965|The Deadly Mantis|Craig Stevens William Hopper|William Alland, Martin Berkeley||
3966||Cynthia Plaster Caster|||
3967|Fido|Billy Connolly Henry Czerny Dylan Baker Tim Blake Nelson K'Sun Ray Carrie-Anne Moss|Robert Chomiak Andrew Currie Dennis Heaton||
3968|Ishtar|Henry Warren Beaty Isabelle Yasmine Adjani Charles Grodin Dustin Lee Hoffman|Elaine Berlin||
3969|Shag|Scott Coffey Bridget Jane Fonda Anne Elizabeth Gish Robert Rusler Phoebe Belle Katz|Lanier Laney Terry Sweeney Robin Swicord||
3970|The Muppet Christmas Carol|Jerry Nelson Michael Caine Dave Goelz Richard Frank Oznowicz Steve Whitmire|Jerry Juhl Charles Dickens||
3971|The Silent Enemy|Zvi Mosheh (Hirsh) Skikne|Marshall Pugh William Fairchild||
3972||Geraldine James Anthony Higgins David O'Hara Sidney Edmond Jocelyn Ackland Saskia Reeves Rosemary Harris Tabitha Allen|Adrian Hodges Maggie Hemingway||
3973|Olympia|Carmen Nogales Jason Andrews|Howard Rodman||
3974||Fat Joe Ice-T Snoop Dogg Big Pun|Andrew Markell Tim Story Hannah Blue||
3975|Fantasma, O|Ricardo Meneses Andre Barbosa Beatriz Torcato|Alexandre Melo Jos? Neves||
3976|A 44-Calibre Mystery|Henry DeWitt Carey II|T. Shelley Sutton Charles J. Wilson||
3977||Vikram Singh (actor) Rinku Seema Biswas Govind Namdeo Manoj Joshi (actor)|||
3978|Sweethearts|Nelson Eddy Jeanette Anna MacDonald Francis Phillip Wuppermann|Alan Campbell Dorothy Parker||
3979||Ethan Green Hawke Vincent Phillip D'Onofrio Matthew David McConaughey Dwight Yoakam Charles Gunning Julianna Luisa Margulies Bryan Ray Trout|Claude Stanush Clark Walker||
3980|Monsieur Verdoux|Charles Chaplin|George Orson Welles Charles Chaplin||
3981||Juan Carlos Thorry|Manuel Romero||
3982|Hana to hebi|Naomi Tani|Oniroku Dan||
3983||Ted ?str?m Lasse ?berg Janne Carlsson|Bo Jonsson (producer) Lars Molin (filmmaker) Lasse ?berg||
3984||Joseph Timothy Thomerson Helen Elizabeth Hunt|Charles Band||
3985||Gale Page Ronald Reagan Pat O'Brien (actor)|Robert Buckner||
3986||Sharmila Tagore Balraj Dutt Sadhana Shivdasani Balbir Raj Kapoor Kulbushan Pandit|Akhtar-Ul-Iman (dialogue) Akhtar Mirza (story)||
3987|Watchers 3|Daryl Keith Roach Wings Hauser Gregory Scott Cummins|Dean R. Koontz||
3988|Witchcraft|Anat Topol Mary Shelley Gary Sloan|Jody Savin||
3989|Lost in Beijing|u8303u51B0u51B0 Tony Leung Ka Fai Tong Dawei Elaine Jin|Li Yu (director) Fang Li (producer)||
3990|WUSA|Joanne Gignilliat Trimmier Woodward Anthony Perkins Paul Leonard Newman Zvi Mosheh (Hirsh) Skikne|Robert Stone||
3991|Spooked|Clifford Vivian Devon Curtis Peter Elliot Christopher Hobbs Ian Mune|Geoff Murphy||
3992|Codename: Kids Next Door episode|Rachael MacFarlane Thomas James Kenny Lauren Tom Benjamin Diskin Maurice LaMarche Dee Bradley Baker Cree Summer Francks|Mo Willems||
