,id|title|starring|writer|editor|
522,"554|Hedwig and the Angry Inch Hedwig And The Angry Inch ""Wig In A Box""|Alberta Watson Andrea Louise Martin Miriam Shor Michael Pitt Stephen Trask John Cameron Mitchell|Stephen Trask||"
523,556|Arabesque|Sofia Villani Scicolone Alan Badel John Herman Merivale Harold Kasket Eldred Gregory Peck|Peter Stone Julian Mitchell||
524,558|What Women Want|Alan Alda Marisa Tomei Ashley Johnson Bette Midler Mel Gibson Helen Elizabeth Hunt|Diane Drake Josh Goldsmith Cathy Yuspa||
525,559|The Fortune|Henry Warren Beaty John Joseph Nicholson Susan Antonia Williams Stockard|Carole Eastman||
526,560|Re-Animator|Bruce Paul Abbott Jeffrey Alan Combs|William Norris H. P. Lovecraft Stuart Gordon||
527,561||Morris Chestnut|Lawrence Roman||
528,562||David Huffman Cassie Yates Arthur William Matthew Carney Albert Salmi|||
529,563||Philip St. John Basil Rathbone William Nigel Ernle Bruce|Arthur Conan Doyle (characters) Bertram Millhauser||
530,564||Park Overall Jason Beghe Seth Elijah Adkins|Susan Rice||
531,565||Tony Hawks|Robert Llewellyn||
532,566|Stephen Tobolowsky's Birthday Party|Stephen Harold Tobolowsky|||
533,567||Elaine Kam Paul Chun (actor) Cherie Chung Guk Fung Chow Yun-Fat Tommy Wong Roy Cheung|Yin Nam||
534,568||Koula Agagiotou Christos Zorbas Maria Vassiliou George Koutouzis|Alexis Damianos||
535,569||Ed Binns Meg Randall Adam Williams|William Raynor||
536,570||David Wheeler Thandiwe Adjewa Newton|Clare Peploe||
537,571|He Would a Hunting Go|Roscoe Arbuckle|||
538,572|Special Delivery||Eunice Macaulay John Weldon||
539,573|Gertrud|Bendt Rothe Axel Str?bye Baard Owe Nina Pens Rode Ebbe Rode|Hjalmar S?derberg||
540,574||Victor Webster Michael Trucco Tara Spencer-Nairn John Novak Jason Thompson (actor)|John Benjamin Martin   Peter Atkins (characters)||
541,575|Monster Night|Joss Saltzman Robert Reed Carradine Vanessa Madeline Angel Taylor Marie Dooley Jake Thomas Bob Thomas|Dami?n Romay||
542,576|Scavenger Hunt|Cloris Leachman Richard Benjamin James Coco Scatman Crothers Cleavon Jake Little|Henry Harper John Thomson Steven Vail Gerry Woolery||
543,577|From the Earth to the Moon|Debralee Griffin Joseph Cheshire Cotten Don Dobbins George Sanders|Jules Verne James Leicester Robert Blees||
544,578|Dark Days||||
545,579|Shooter|Mark Wahlberg Danny Lebern Glover Michael Anthony Peu00F1a Kate Mara Rade Sherbedgia Ned Thomas Beatty|Jonathan Lemkin Stephen Hunter||
546,580|The Pledge|Benicio Monserrate Rafael del Toro Su00E1nchez Patricia Davies Clarkson John Joseph Nicholson|Jerzy Kromolowski Mary Olson-Kromolowski||
547,581|Luke and the Rural Roughnecks|Harold Lloyd|||
548,582||Ravi Mohan Kausalya (actress) Geetha Kirat Bhattal Sayaji Shinde Sadagoppan Ramesh Prakash Raj Premji Amaran Genelia D'Souza Santhanam|Abburi Ravi Bhaskar||
549,583||Crystal Dahl Britt McKillip M?lanie St-Pierre Sarah Wynter Henry Ian Cusick Cynthia Stevenson Daniel James Callum Blue Ellen Anna Muth Jasmine Guy Meghanne Kessels|John Masius Stephen Godchaux||
550,584|Booty Call|Eric Marlon Bishop Tommy Davidson Vivica Anjanetta Fox Tamala Jones|Takashi Bufford J. Stanford Parker||
551,586|The Dead Zone|Ramu00F3n Gerardo Antonio Estu00E9vez Brooke Adams Ronald Walken Thomas Roy Skerritt|Jeffrey Boam Stephen King||
552,587|||Kinji Fukasaku  Sadao Nakajima (own segment)  Tatsuo Nogami (screenplay)  Shiro Ozaki (novel)  Junya Sato||
553,588||Dieter Plage Graham Dorrington Werner Stipetiu0107|Werner Herzog||
554,589||Vivian Rich Charlotte Burton Harry von Meter Jack Richardson (actor) Louise Lester|Marc Edmund Jones||
555,590|Suite Habana|Francisco Cardet|Fernando Pu00E9rez||
556,591||Sara Simmonds Jake McDorman|Nathan Todd Sims||
557,592||Nicole Mary Kidman Rodrigo Junqueira dos Reis|||
558,593||Fay Masterson Sandrine Holt|Andrew C. Erin||
559,594||Cloris Leachman Cybill Lynne Shepherd Timothy Bottoms Randall Rudy Quaid Verla Eileen Brennen Ben Johnson (actor) Edna Rae Gillooly Peter Bogdanovich Jeffrey Leon Bridges|Larry Jeff McMurtry Peter Bogdanovich||
560,595|His Private Secretary|Evalyn Knapp Marion Robert Morrison|Lewis D. Collins   Jack Natteford||
561,596||Om Prakash Vyjayanthimala Pran Sikhand Kishore Kumar|||
562,597||Shalini Madhavi Sivaji Rao Gaekwad Villupuram Chinnaiahpillai Ganesan Vishnuvardhan|||
563,598|Filmfare Best Movie Award|Jatin Khanna Nutan Samarth Moushmi Chatterjee Ashok Kumar|||
564,600|Funeral Parade of Roses|Peter (actor) Yoshio Tsuchiya|Toshio Matsumoto||
565,601||Glenn Allen|Thomas Mercer||
566,602|Tjenare kungen|Malin Larsson Josefin Neld?n Cecilia Wallin|Anna Fredriksson||
567,603|The Lost World|William Fox Robert William Hoskins Peter Michael Falk|Arthur Conan Doyle Adrian Hodges||
568,604|Eagle vs Shark|Loren Horsley Joel Tobeck Craig Hall Jemaine Clement|Loren Horsley Taika Waititi||
569,605|Applause|Helen Morgan|Garrett Fort||
570,606||Barbara Jean Morehead William Shatner Roderick Andrew Anthony Jude McDowall|Peter S. Fischer||
571,607|King of the Jungle|Rosa Maru00EDa Pu00E9rez John Leguizamo|Seth Zvi Rosenfeld||
572,608|City of Ghosts|Stellan Skarsg?rd Gu00E9rard Xavier Marcel Depardieu James Langston Edmund Caan Natascha Taylor Kem Sereyvuth|Barry Gifford Mike Jones (screenwriter)||
573,609|Don|Akkineni Nagarjuna Rao Raghava Lawrence Anushka Shetty Rahul Dev|Abburi Ravi Raghava Lawrence||
574,610|Perdita Durango|Harley Cross Aimee Graham Screamin' Jay Hawkins Rosa Maru00EDa Pu00E9rez Alex Cox James R. Gandolfini Javier u00C1ngel Encinas Bardem|Barry Gifford Alex de la Iglesia||
575,611||Karl Maka Sam Hui|||
576,613|Comic Book Confidential|Robert Dennis Crumb Jacob Kurtzberg William M. Gaines Frank Miller (comics) Stanley Martin Lieber William Erwin Eisner|Ron Mann||
577,614|Penelope|Peter Dinklage Christina Ricci|Leslie Caveny||
578,615||Reginald Carey Harrison Lilli Palmer|Val Valentine||
579,616||Dharmendra Shatrughan Sinha Kajol|Talat Jani||
580,617||Suhasini Rajaram Naidu Namitha Keerthi Chawla Jeevan Jyothirmayi (actress) Shweta Konnur|K. Balachandar||
581,618|Message in a Bottle|Robin Gayle Wright Paul Leonard Newman Kevin Michael Costner|Nicholas Sparks Gerald Di Pego||
582,619|Honey Glaze|Sideshow Cinema#James O'Brien Linda Lasco Michael Legge (filmmaker) Lorna Nogueira Sideshow Cinema#Robin Gabrielli|Michael Legge (filmmaker)||
583,620|Une histoire d'eau|Jean-Claude Brialy Caroline Dim|Franu00E7ois Truffaut Jean-Luc Godard||
584,621||Walter Davis Pidgeon Elizabeth Rosemond Taylor Charles Van Johnson Donna Belle Mullenger|Julius J. Epstein Philip G. Epstein F. Scott Fitzgerald Ruben Sax||
585,622||Archibald Alec Leach Betta St. John Walter Davis Pidgeon Deborah Jane Kerr-Trimmer|Herbert Baker||
586,623||Elizabeth McGovern Swoosie Kurtz Michael Caine|Andrew Klavan||
587,624|Peesua lae dokmai|Suriya Yaowasang Vasana Polyiem|Euthana Mukdasanit||
588,625||Clark Lohr and Carolyn Owen|Steven Allan Spielberg||
589,626||Hema Malini Dharmendra|||
590,627|The Last Wagon|James Drury Ray Stricklyn Susan Kohner Carl Benton Reid Felicia Farr Nick Adams Richard Widmark Tommy Rettig|James Edward Grant||
591,628|A Lizard in a Woman's Skin|Florinda Bolkan Stanley Baker Jean Sorel|Lucio Fulci||
592,630|Baby Doll|Carroll Baker Eli Wallach Mildred Dunnock Mladen George Sekulovich|Tennessee Williams||
593,631|Le Retour de Martin Guerre|Gu00E9rard Xavier Marcel Depardieu Bernard-Pierre Donnadieu Nathalie Baye Roger Planchon Dominique Pinon|Jean-Claude Carri?re Natalie Zemon Davis Daniel Vigne||
594,633||Scott Brady Anthony Eisley Abraham Sofaer Gigi Perreau|David L. Hewitt||
595,634||Prithviraj Sukumaran Cochin Haneefa Manoj K Jayan Kavya Madhavan Riya Dev Varma Revathi Biju Menon Kalabhavan Mani|Sunil Parameswar||
596,635||Jesse Ventura Sven-Ole Thorsen Damian Lee Ken Quinn Marjorie Bransfield James Edgar Belushi Jerry Levitan|Damian Lee||
597,636|A Little Sex|Joan Miller Timothy Lewis Matthieson Edward Herrmann John Glover Susanna Dalton Kathleen Sue Nail|Robert De Laurentiis||
598,638||Lindsay Jean Wagner Constance Broman Thomas Roy Skerritt|Greg McCarty Scott Swanton||
599,639|Spring in a Small Town|Wei Wei (actress) Zhang Hongmei Li Wei (actor)|Li Tianji||
600,640|Madame Curie|Travers Heagerty Eileen Evelyn Greer Garson Walter Davis Pidgeon|Aldous Huxley Paul Osborn||
601,641|Frogs|Alfred Reginald Jones Mae Mercer Joan Van Ark David Gilliam Samuel Pack Elliott Adam Roarke Judy Pace Lynn Borden|Robert Hutchison Robert Blees||
602,642|Frankenstein Meets the Wolf Man|Creighton Tull Chaney Patric Knowles Ilona Hajmu00E1ssy Maria Ouspenskaya Bela Lugosi Lionel Atwill|Curt Siodmak||
603,643||Philip Silver Gloria DeHaven Eddie Bracken Eugene Curran Kelly Frances Ethel Gumm Mary Tomlinson|||
604,644||Anita Pallenberg Hans Peter Hallwachs|Arne Boyer Volker Schl?ndorff Gregor von Rezzori Niklas Frank||
605,645||Laurence Mason Gabriel Mann (actor)|John G. Young||
606,646||Jatin Khanna Zeenat Aman|||
607,647|The Weak and the Wicked|Diana Mary Fluck Glynis Johns|||
608,648||Julee Cruise Nicholas Kim Coppola Michael J. Anderson Laura Elizabeth Dern|David Keith Lynch||
609,649||Madiha Shah Shaan (Actor) Saima|Rukhsana Noor||
610,650|Howard the Duck|Chip Zien Timothy Francis Robbins Paul Guilfoyle Lea Katherine Thompson Jeffrey Duncan Jones|Willard Huyck Stephen Ross Gerber Gloria Katz||
611,651|The Family Secret|Gladys Hulette Frank Currier Baby Peggy Edward Earle|Dwinelle Benthall Frances Hodgson Burnett Lois Zellner Augustus E. Thomas||
612,652||Jorge Sanz Santiago Magill Tiar? Scanda|David Menkes Alfonso Albacete Luc?a Etxebarria||
613,653|The Return of Swamp Thing|Heather Deen Locklear Dick Durock Louis Jourdan Ace Mask Monique Gabrielle Sarah Douglas|Len Wein Bernie Wrightson Neil Cuthbert Grant Morris||
614,654|Freedom Comes High||||
615,655|The Wasp|Hugh Bennett|||
616,656|Vai que u00E9 Mole|J? Soares Grande Otelo|Edgar G. Alves J.B. Tanko||
617,657||Winston Rekert Andrew Bednarski Yannick Bisson|Jeff Maguire Jamie Brown (film writer) Djordje Milicevic||
618,658||Jessica Stevenson Neil Dudgeon|Garth Jennings||
619,659|The Children of Huang Shi|Guang Li Jonathan Rhys-Meyers Yeoh Choo-Kheng Chow Yun-Fat David Wenham Radha Mitchell|Jane Hawksley James MacManus||
620,660|Attack Force Z|Nigel John Dermot Neill John Phillip Law John Waters (actor) Mel Gibson|Roger Marshall||
621,661||Daria Nicolodi Coralina Cataldi-Tassoni Moran Atias Asia Aria Anna Maria Vittoria Rossa Argento|Adam Gierasch Dario Argento Jace Anderson Simona Simonetti Walter Fasano||
622,662||Catherine Louise Sagal John William DiMaggio Billy West (voice actor)|Eric Kaplan||
623,663||Ong-art Ponethon|Khamsing Srinawk||
624,664|Serial (film) Universal Pictures||||
625,665||Paul Hogan Michael Caton|Dean Murphy Stewart Faichney||
626,666|Punks|Rockmond Dunbar Devon Odessa|||
627,667|Teenage Catgirls in Heat|Dave Cox Esmeralda Huffhines Gary Graves Helen Griffiths Carrie Vanston|Scott Perry Grace Smith||
628,668|The Punisher Punisher: War Zone|Dashiell Mihok Keram Malicki-Sanchez Julie Benz Colin Salmon Ray Stevenson (actor) Doug Hutchison Mark Camacho Wayne Knight Dominic West|Kurt Sutter Nick Santora||
629,669|The Agent|Oliver Hardy|Tom Buckingham Larry Semon||
630,670||Agust?n Gonz?lez Victoria Abril Patricia Adriani Alicia Hermida Amparo Soler Leal|Fernando Fern?n G?mez Lola Salvador Rafael Sep?lveda Enrique Paradas||
631,671||Danny Stone George Montgomery Letz|Edward Mann||
632,672|Voices of Iraq|People of Iraq|||
633,673|Twin Flats|Oliver Hardy|||
634,674|CJ7|Stephen Chow Tin Kai Man Kitty Zhang Yuqi Chan Kwok Kuen Xu Jiao Yuen Qiu|Stephen Chow||
635,675|The Sign of the Cross|Ernest Frederick McIntyre Bickel Charles Laughton Lily Claudette Chauchoin Elizabeth Marie Christine Ku00FChnelt|Wilson Barrett Waldemar Young Sidney Buchman||
636,676|Glass Bottom Boat|Doris Day Arthur Godfrey Rod Taylor (actor)|Everett Freeman||
637,677|Stewardess School|Brett Cullen Mary Cadorette Don Most Alan Rosenberg Judy Landers Wendie Jo Sperber|Ken Blancato||
638,678|Heartbreak Hotel|David Lemuel Keith Tuesday Weld Angela Bethany Goethals Charles Schlatter|Chris Columbus||
639,679|Il Commisario Pepe|Elena Persiani Giuseppe Maffioli Marianne Comtell Tano Cimarosa Silvia Dionisio Ugo Tognazzi|Ruggero Maccari||
640,680|Talk Radio|Eric Bogosian Park Overall Anna Levine Earl John Hindman Leslie Hope Tony Frank Ellen Greene Alexander Rae Baldwin III Michael Anthony Claudio Wincott Robert Schenkman John C. McGinley Rockets Redglare John Pankow|Eric Bogosian Stephen Singular Tad Savinar William Oliver Stone||
641,681|Broken Oath|Dean Shek Hung Kam-Bo Angela Mao Chan Wai-Man|||
642,682||Lew Davis Marvin Loback Si Jenks Thomas Richard Potts Lou Archer Bud Jamison Larry Fine (actor) Phyllis Crane Jerome Lester Horwitz Celeste Edwards Harry Moses Horwitz Ford West Billy Engle Heinie Conklin Theodore Lorch|Felix Adler||
643,683|The Manxman|Anny Ondra Malcolm Keen Carl Brisson|Hall Caine Eliot Stannard||
644,684||Dan Hedaya Joe Piscopo Daniel Michael DeVito Jr. Lou Albano Harvey Keitel|Norman Steinberg George Gallo||
645,686|Toolbox Murders|Marco Rodr%C3%ADguez Juliet Rose Landau Brent Roam Angela Bettis Harold Rance Beckenholdt|||
646,687||Charles Douville Coburn Charles Clarence Robert Orville Cummings Olivia Mary de Havilland|Norman Krasna||
647,688|Kamulah Satu-Satunya|Nirina Zubir|Hanung Bramantyo||
648,689|||Abrams Klezkins J. Margolins A. Klockis Juris Podnieks||
649,690||James Jonah Cummings Martin Hayter Short Susanne Blakeslee Jason Scott Greenspan Barry Bostwick Jeffrey Glenn Bennett Kath Soucie|Jim Kammerud||
650,691||Steve Cochran Hugh Sanders Doris Day Ronald Reagan Virginia Katherine McMath|||
651,692|Lovers' Post Office|Roscoe Arbuckle|||
652,693|Hold That Ghost|Richard Carlson The Andrews Sisters Lou Costello Samuel Horwitz William Alexander Abbott|Fred Rinaldo Robert Lees John Grant (screenwriter)||
653,694|Rumor Has It|Mark Alan Ruffalo Jennifer Aniston Kevin Michael Costner Shirley MacLean Beaty Mena Adrienne Suvari|Ted Griffin||
654,695||Ficarra Picone|Ficarra Giambattista Avellino Francesco Bruni Picone||
655,696|The Brother from Another Planet|Darryl Edwards Joe Morton William Cobbs David Russell Strathairn Steve James (actot)|John Sayles||
656,697|Journey to Lasta|Tsegaye B. Selassie   Kirubel Assefa   Teferi Assefa       Johnny Ashenafi        Jessica Beshir        Tsehaie Kidane        Abbey Lessanu   Scott F. Evans   Ras Michael|Wondwossen D. Dikran||
657,699|My Man Godfrey|Jane Alice Peters William Horatio Powell|Eric Hatch Gregory La Cava Morrie Ryskind||
658,700||Minami Takayama Megumi Hayashibara Kappei Yamaguchi Wakana Yamazaki Hirotaka Shimasawa Yukiko Iwai Wataru Takagi Kenichi Ogata Akira Kamiya Ikue Ohtani|Kazunari Kochi||
659,701|La sconosciuta|Claudia Gerini Alessandro Haber Michele Placido Pierfrancesco Favino Kseniya Rappoport Margherita Buy ?ngela Molina|Massimo De Rita Giuseppe Tornatore||
660,702||Guy Edward Pearce Catherine Zeta Jones|Brian Ward Tony Grisoni||
661,703|Dark Matter|Liu Ye Mary Louise Streep Aidan Quinn|Billy Shebar||
662,704|Torremolinos 73|Juan Diego (actor) Javier C?mara Candela Pe?a|Pablo Berger||
663,705|Pipe Dreams|Kate Price (actor)|||
664,706|Hell's Angels|Harlean Harlow Carpenter James Hall (actor) Ben Lyon|Howard Estabrook Harry Behn||
665,707|Columbia Pictures Serial (film)||||
666,708|Chain Reaction|Keanu Charles Reeves Fred Ward Rachel Weisz Morgan Freeman|||
667,709|Dog Park|Luke Cunningham Wilson Kathleen Robertson Natasha Henstridge Gordon Currie|Bruce McCulloch||
668,711|Kshatriya|Vinod Khanna Sunny Deol Balraj Dutt Dharmendra Sanjay Dutt|J.P. Dutta||
669,712|Ben Hur|William Surrey Hart Herman Rottger|Gene Gauntier Lew Wallace||
670,713||Dominick DeLuise Bernadette Lazzara Martin Alan Feldman Sid Caesar|Ron Clark (writer) Barry Levinson Rudy De Luca||
671,714|Screamplay|George Kuchar|Ed Greenberg Rufus Butler Seder||
672,715||Frankie Avalon Scott Brady Arthur Andrew Kelm Gary Evan Crosby Jim Backus|John Tomerlin||
673,717|The Paper Chase|Jacques Haussmann Lindsay Jean Wagner Timothy Bottoms|James Bridges||
674,718|Mutiny on the Bounty Academy Award for Best Picture|Eddie Quillan William Clark Gable Charles Laughton Mamo Clark George William Crisp Stanislas Pascal Franchot Tone Dudley Digges (actor) Herbert Mundin Maria Casteneda|Carey Wilson (writer) Charles Nordhoff James Norman Hall Talbot Jennings Jules Furthman||
675,719|Will Success Spoil Rock Hunter?|Tony Randall Vera Jayne Palmer|Frank Tashlin George Axelrod||
676,720|The Human Stain|Philip Anthony Hopkins Nicole Mary Kidman|Philip Roth Nicholas Meyer||
677,722|Species: The Awakening|Helena Mattsson Ben Cross Dominic Keating|Ben Ripley||
678,723|A Question of Honor|Jack Richardson (actor)|||
679,724||Stephen Chow Ng Man Tat Law Kar-Ying Jeffrey Lau Athena Chu|Jeffrey Lau||
680,725|Animal Crackers|Chico Marx Lillian Roth Daisy Juliette Baker Zeppo Marx Groucho Marx Harpo Marx|George S. Kaufman Harry Ruby Bert Kalmar||
681,726|For Heaven's Sake|Webb Parmalee Hollenbeck Joan Geraldine Bennett Charles Clarence Robert Orville Cummings|Harry Segall||
682,728|Summer School|Robin Thomas Kelly Jo Minter Thomas Mark Harmon Courtney Thorne-Smith Patrick Labyorteaux Kirsten Louise Alley Gary Riley Dean Cameron|Stuart Birnbaum Jeff Franklin David Dashev||
683,729|Freedom Downtime||||
684,730|Soul Man|Leslie William Nielsen Todd Jones Rae Dawn Chong Christopher Thomas Howell|Carol Black||
685,731|The Reaping|Idrissa Elba David Morrissey Graham Rea AnnaSophia Robb Hilary Ann Swank|Chad Hayes Carey Hayes||
686,732||Jyothika Kausalya (actress) VIVEKANANDHAN DEVAR Joseph Vijay Chandrasekhar Raghuvaran|Ramana||
687,733|Senseless|Elmore Rual Torn Tamara Taylor David Wayne Spade Marlon Wayans Bradford Claude Dourif Matthew Lillard|Craig Mazin Greg Erb||
688,734|Old Offenders|Henry DeWitt Carey II|||
689,735||Danny Denzongpa Rati Agnihotri Bhanurekha Ganesan Ranjeeta Gouranga Chakraborty Asrani|||
690,737|Wesley Willis: The Daddy of Rock 'n' Roll|Wesley Willis|||
691,738|List of Sundance Film Festival award winners Why We Fight|Richard Perle John McCain Chalmers Johnson Joseph Cirincione|Eugene Jarecki||
692,739|La Promesse|Olivier Gourmet J?r?mie Renier Assita Ouedraogo|Jean-Pierre Dardenne Luc Dardenne||
693,740||Louise Marleau Ian McCulloch|Erich Tomek Luigi Cozzi||
694,741||Robert Quarry Michael Macready Roger Perry Donna Anders Michael Murphy (actor)|Bob Kelljan||
695,742|Viruddh... Family Comes First|Sharmila Tagore Amitabh Dayal Anusha Dhandekar Prem Chopra Amitabh Bachchan John Abraham (actor) Sanjay Dutt|Mahesh Manjrekar||
696,743|To Walk with Lions|John Michie Richard St.  John Harris Ian Bannen Kerry Fox|||
697,744||Ramesh Khanna M. S. Baskar Atul Kulkarni Tamanna Ileana D'Cruz Ravi Krishna Suman Setty Adithya|||
698,745|State of Grace|Edward Allen Harris Gary Leonard Oldman John Michael Turturro Robin Wright Sean Justin Penn|Dennis McIntyre||
699,746|Jaws: The Revenge|Michael Caine Lorraine Gary Karen Young (actress) Mario Van Peebles Judith Eva Barsi Lance Guest|Michael De Guzman||
700,747|Chamatkar||||
701,748|Title|William Crudup Paul Giamatti Kristen Carroll Wiig|Paul Schneider||
702,749|Infernal Affairs III|Vivian Chen Wai Man (u9673u6167u6C76) Anthony Perry Chen Daoming u5289u798Fu69AE) Eric Tsang Li Jie (u9ECEu6377) Tony Leung Chiu Wai|Felix Chong||
703,750|The Cardinal|Rosemarie Magdalena Albach-Retty Tom Tryon Carol Lynley Valeria Jill Haworth|Robert Dozier||
704,751||Patrick Galen Dempsey Al Waxman Sally Claire Kellerman|George Mendeluk<BR/>Bradley Kesden<BR/>Michael Paseornek||
705,752|Mischief|Doug McKeon Kelly Kamalelehua Smith Catherine Mary Nursall Chris Nash|Noel Black||
706,753||Shim Eun-Ha Han Suk-kyu|||
707,754||Brigitte Mira|Heinrich Zille Kurt Raab Rainer Werner Fassbinder||
708,755|Vampires|Daniel Leroy Baldwin James Howard Woods Maximilian Schell Thomas Ian Griffith Sheryl Lee|John Steakley||
709,756|Savage Guns|Robert Woods|||
710,757|||Dziga Vertov||
711,758||Rehman Mahjabeen Bano Dharmendra|||
712,"759|Angel (""Tian shi xing dong"")|Alex Fong Chung-Sun Hideki Saijo Moon Lee Hwang Jang Lee Elanie Lui Yukari Oshima|Teresa Woo||"
713,760|One True Thing|Nicky Katt Tom Everett Scott Lauren Helen Graham William Hurt Renu00E9e Kathleen Zellweger Mary Louise Streep|Karen Croner||
714,761|Safe|Julie Anne Smith Peter Friedman Xander Berkeley|Todd Haynes||
715,762|Keeping Mum|Emilia Rose Elizabeth Fox Maggie  Smith Tamsin Egerton-Dick Rowan Sebastian Atkinson Kristin Scott Thomas Patrick Swayze|Richard Russo||
716,763|Hinokio|Kanata Hongo Mikako Tabe Masatoshi Nakamura|Shoji Yonemura Masumi Suetani Takahiko Akiyama||
717,764|Alraune|Gyula G?l G?za Erd?lyi|Hanns Heinz Ewers Rich?rd Falk||
718,765|ABBA: The Movie|Robert Hughes (Australian actor) Agnetha F?ltskog Bj?rn Ulvaeus Tom Oliver Anni-Frid Lyngstad Benny Andersson|Robert Caswell Lars Hallstru00F6m||
719,767|Venky|Suhasini Rajaram Naidu Ashutosh Rana Ravi Teja|Kona Venkat Gopimohan Srinu Vaitla||
720,768|The Heroes|Oliver Hardy|||
721,769|The Right Way|Holly Dennison James McGowan Karyn Dwyer Gloria Slade Sarain Boylan Anthony Furey Jefferson Brown|Mark Penney|Kevin Rollins|
722,770||Creighton Tull Chaney John Nicholas Foran John Hubbard|Neil P. Varnick (story)||
723,772|License to Wed|Robin McLaurim Williams DeRay Davis John Burke Krasinski Eric Christian Olsen Mandy Moore|Kim Barker Vince Di Meglio Tim Rasmussen Wayne Lloyd||
724,773||Sangeeta|||
725,774|Baykot|Majid Majidi|||
726,775||Hakk? G?ven? G?ven ?engil Y?ld?r?m ?nel G?kt?rk G?ney H?lya ?eng?l Y?lmaz G?ney|Yilmaz G?ney Atif Yilmaz||
727,776|A Smoky Mountain Christmas|Harvey Lee Yeary Dolly Parton|William Bleich Dolly Parton||
728,777||Burton Stephen Lancaster Charles Bickford Phyllis Thaxter|Russell Birdwell Douglas Morrow Vincent X. Flaherty Jim Thorpe Frank Davis Everett Freeman||
729,779||George S. Irving Fred Stuthman Joe Silver Marty Brill Mark Baker Niki Flacks Didi Conn|Joe Raposo Johnny Gruelle Patricia Thackray Max Wilk||
730,780||Susan Barnes Linda Fiorentino Dermot Mulroney Paul Leonard Newman|Carroll Cartwright Topper Lilien E. Max Frye||
731,781||Bela Lugosi John Archer (actor)|Gerald Schnitzer||
732,782|Shit Happens|Kristoffer Joner|Morten Hovland||
733,783|Guns at Batasi|Richard Samuel Attenborough Flora McKenzie Robson John Edward Hawkins|C. M. Pennington-Richards Leo Marks Marshall Pugh Robert Holles||
734,784|Les tu00EAtes interverties|Micheline Beauchemin Raymond Devos|Thomas Mann Alejandro Jodorowsky||
735,785|Waikiki Wedding|Shirley Ross Harry Lillis Crosby|||
736,786||Jon Hall Buster Crabbe Nancy Kelly Madonna Josephine Davis Carver Dana Andrews|||
737,787|Robot Monster|George Barrows Claudia Barrett George Nader Selena Royle Pamela Paulson John Mylong Gregory Moffett|Wyott Ordung||
738,788||Kenneth Dollins Victor Travers Jerome Lester Horwitz Samuel Horwitz Dudley Dickerson Blackie Whitford Harry Moses Horwitz Larry Fine (actor) Heine Conklin Emil Sitka|Felix Adler||
739,789||Pu00E1ll Danielsen Erling Eysturoy Elin K. Mouritsen Katrin Ottarsdu00F3ttir|||
740,790|A Lawyer Walks into a Bar|Robert Shapiro Alan Dershowitz Joe Jamail Eddie Griffin Nancy Ann Grace Len Jacoby|||
741,791||Etty Fraser Isabela Guasco Marisa Orth Let?cia Sabatella Ary Fran?a|Anna Muylaer||
742,792|Invasion U.S.A.|Alexander Zale Billy Eugene Burrows Dehl Berti Richard Lynch Carlos Ray Norris Alex Colon Melissa Prophet|James Bruner Carlos Ray Norris Aaron Norris||
743,793|Overland Stage Raiders|Marion Robert Morrison Ray Corrigan|William Colt MacDonald||
744,794|Mystery Date|Ethan Green Hawke Steven Fisher Teri Polo Brian McNamara Don Sinclair Davis|Parker Bennett Terry Runte||
745,795|Mumford|Alfre Ette Woodard Hope Davis Jason Lee (actor) Loren Dean Martin Hayter Short Mary McDonnell Zooey Claire Deschanel Eddie McClintock|Lawrence Kasdan||
746,796||Jane Birkin Marie-France Thielland Dianne Wiest Stanislas Merhar|Andrew Litvack||
747,797|Fire|Nandita Das Shabana Azmi|Deepa Mehta||
748,798|Columbia Pictures Serial (film)||||
749,799||Tanuja Jatin Khanna Sujit Kumar|||
750,800|Black Moon Rising|Dan Shor Lee Ving Linda Carroll Hamilton Robert Francis Vaughn Tommy Lee Jones Bubba Smith Richard Jaeckel|William Gray Desmond Nakano John Howard Carpenter||
751,801||Lennart Eriksson Joakim Th?str?m Gunnar Ljungstedt|||
752,802|Yodha|Mohanlal Viswanathan Nair Puneet Issar Madhu Raghunath|Sangeeth Sivan||
753,803|Dragonfly|Kevin Michael Costner Joe Morton Linda Hunt  Kathleen Doyle Bates|Brandon Camp Mike Thompson David Seltzer||
754,804||Simple Kapadia Jatin Khanna Vinod Mehra|||
755,805|Horrorween|Ed Meyer Chuck Lamb|Ed Meyer Mike Muscat||
756,806|Perfect Body|Brett Cullen Cathy Rigby Amy Jo Johnson|Melissa Gould||
757,807|A Busy Day|Charlie Chaplin|||
758,808||Erkki Pajala|Olli Soinio||
759,809|2+5: Missione Hydra|Leonora Ruffo Mario Novelli|||
760,810|The Nature of the Beast|Lance Henriksen Eric Anthony Roberts|Victor Salva||
761,811|Luke's Lost Liberty|Harold Lloyd|||
762,812|Mabel's Wilful Way|Roscoe Arbuckle Mabel Normand|||
763,813|Starchaser: The Legend of Orin|Dennis Alwood|Jeffrey Scott||
764,814|Thirteen Conversations About One Thing|Tia Texada Amy Davis Irving Alan Wolf Arkin Matthew David McConaughey John Michael Turturro Clea Helen D'Etienne DuVall Barbara Sukowa|Jill Sprecher||
765,815||Lynn Lowry|David E. Durston||
